omega,iters,converged,x_final
-0.5,35,True,0.7968102200023185
-0.451724,32,True,0.7968106564750645
-0.403448,29,True,0.7968107436109548
-0.355172,26,True,0.7968105197628168
-0.306897,24,True,0.796810752557418
-0.258621,23,True,0.7968113713715103
-0.210345,21,True,0.7968113080176743
-0.162069,20,True,0.7968116062571755
-0.113793,18,True,0.7968113884907407
-0.065517,17,True,0.7968115707582297
-0.017241,16,True,0.7968116812759684
0.0,16,True,0.7968118244957711
0.031034,15,True,0.796811745317668
0.07931,14,True,0.7968117759529862
0.127586,13,True,0.7968117781811866
0.175862,12,True,0.796811750016369
0.224138,12,True,0.7968120071223045
0.272414,11,True,0.7968119860212719
0.3,11,True,0.7968120592015643
0.32069,10,True,0.7968119437079371
0.368966,10,True,0.7968120795740575
0.417241,9,True,0.7968120600258531
0.465517,8,True,0.7968120214756578
0.5,8,True,0.7968120970781652
0.513793,8,True,0.7968121107581678
0.562069,7,True,0.7968121025602961
0.610345,6,True,0.7968120932176707
0.658621,6,True,0.7968121296354346
0.706897,5,True,0.7968121355179671
0.755172,5,True,0.7968121606911558
0.8,6,True,0.7968121611712038
0.803448,6,True,0.7968121682411287
0.851724,7,True,0.7968121000117012
0.9,8,True,0.7968121487386739
