v0_multiplier,time_to_r_s_or_NaN,hit_flag
5.999999999999999778e-01,1.453222491639051306e+01,1.000000000000000000e+00
6.999999999999999556e-01,1.498773922089925570e+01,1.000000000000000000e+00
8.000000000000000444e-01,1.521315802283277208e+01,1.000000000000000000e+00
9.000000000000000222e-01,1.545601154539424726e+01,1.000000000000000000e+00
1.000000000000000000e+00,1.560406032701635937e+01,1.000000000000000000e+00
