A,B_over_A,B,time_to_r_s_Myr_or_NaN
1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,7.064873620738244320e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.613447937996344450e+01
1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,nan
